Category,Title,Brand,Manufacturer,SKU,MPN,Availability,MSRP (Ex. GST),Price (Ex. GST),MSRP (Inc. GST),Price (Inc. GST),On Sale/Discount,Discount %,Product URL
MX Series,Meraki MX67 Router/Security Appliance,Meraki,"Cisco Systems, Inc",MX67-HW,MX67-HW,In Stock,,555.29,,610.82,False,0,https://dragon-networks.com.au/product/meraki-mx67-router-security-appliance/
MX Series,Meraki MX67C LTE Router/Security Appliance – Worldwide,Meraki,"Cisco Systems, Inc",MX67C-HW-WW,MX67C-HW-WW,In Stock,,1118.56,,1230.42,False,0,https://dragon-networks.com.au/product/meraki-mx67c-lte-router-security-appliance-worldwide/
MX Series,Meraki MX67W Router/Security Appliance with 802.11ac,Meraki,"Cisco Systems, Inc",MX67W-HW,MX67W-HW,In Stock,,858.89,,944.78,False,0,https://dragon-networks.com.au/product/meraki-mx67w-router-security-appliance-with-802-11-ac/
MX Series,Meraki MX68 Router/Security Appliance,Meraki,"Cisco Systems, Inc",MX68-HW,MX68-HW,In Stock,,1117.24,,1228.96,False,0,https://dragon-networks.com.au/product/meraki-mx68-router-security-appliance/
MX Series,Meraki MX68CW LTE & 802.11ac Router/Security Appliance – WW,Meraki,"Cisco Systems, Inc",MX68CW-HW-WW,MX68CW-HW-WW,In Stock,,1550.0,,1705.0,False,0,https://dragon-networks.com.au/product/meraki-mx68cw-lte-802-11-ac-router-security-appliance-ww/
MX Series,Meraki MX68W Router/Security Appliance with 802.11ac,Meraki,"Cisco Systems, Inc",MX68W-HW,MX68W-HW,In Stock,,1118.56,,1230.42,False,0,https://dragon-networks.com.au/product/meraki-mx68w-router-security-appliance-with-802-11-ac/
MX Series,Meraki MX250 Router/Security Appliance,Meraki,"Cisco Systems, Inc",MX250-HW,MX250-HW,In Stock,,14230.78,,15653.86,False,0,https://dragon-networks.com.au/product/meraki-mx250-router-security-appliance/
MX Series,Meraki MX450 Router/Security Appliance,Meraki,"Cisco Systems, Inc",MX450-HW,MX450-HW,In Stock,,28467.96,,31314.76,False,0,https://dragon-networks.com.au/product/meraki-mx450-router-security-appliance/
MX Series,Meraki MX75 Router/Security Appliance,Meraki,"Cisco Systems, Inc",MX75-HW,MX75-HW,In Stock,,1004.06,,1104.47,False,0,https://dragon-networks.com.au/product/meraki-mx75-router-security-appliance/
MX Series,Meraki MX85 Router/Security Appliance,Meraki,"Cisco Systems, Inc",MX85-HW,MX85-HW,In Stock,,1960.1,,2156.11,False,0,https://dragon-networks.com.au/product/meraki-mx85-router-security-appliance/
MS Series,Meraki MS120-8 1G L2 Cloud Managed 8x GigE Switch,Meraki,"Cisco Systems, Inc",MS120-8-HW,MS120-8-HW,In Stock,,711.7,,782.87,False,0,https://dragon-networks.com.au/product/meraki-ms120-8-1g-l2-cloud-managed-8x-gige-switch/
